ctr,country,pdi,idv,mas,uai,ltowvs,ivr
AFE,Africa East,64,27,41,52,32,40
AFW,Africa West,77,20,46,54,9,78
ALB,Albania,90,20,80,70,61,15
ALG,Algeria,80,35,35,70,26,32
AND,Andorra,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,65
#NULL!,Angola,83,18,20,60,15,83
ARA,Arab countries,80,38,53,68,23,34
ARG,Argentina,49,46,56,86,20,62
ARM,Armenia,85,22,50,88,61,25
AUL,Australia,38,90,61,51,21,71
AUT,Austria,11,55,79,70,60,63
AZE,Azerbaijan,85,22,50,88,61,22
BAN,Bangladesh,80,20,55,60,47,20
BLR,Belarus,95,25,20,95,81,15
BEL,Belgium,65,75,54,94,82,57
BEF,Belgium French,67,72,60,93,#NULL!,#NULL!
BEN,Belgium Netherl,61,78,43,97,#NULL!,#NULL!
#NULL!,Bhutan,94,52,32,28,#NULL!,#NULL!
#NULL!,Bolivia,78,10,42,87,25,46
BOS,Bosnia and Herzegovina,90,22,48,87,70,44
BRA,Brazil,69,38,49,76,44,59
BUL,Bulgaria,70,30,40,85,69,16
BUF,Burkina Faso,70,15,50,55,27,18
CAN,Canada,39,80,52,48,36,68
CAF,Canada French,54,73,45,60,#NULL!,#NULL!
#NULL!,Cape Verde,75,20,15,40,12,83
CHL,Chile,63,23,28,86,31,68
CHI,China,80,20,66,30,87,24
COL,Colombia,67,13,64,80,13,83
COS,Costa Rica,35,15,21,86,#NULL!,#NULL!
CRO,Croatia,73,33,40,80,58,33
CYP,Cyprus,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,70
CZE,Czech Rep,57,58,57,74,70,29
DEN,Denmark,18,74,16,23,35,70
DOM,Dominican Rep,65,30,65,45,13,54
ECA,Ecuador,78,8,63,67,#NULL!,#NULL!
EGY,Egypt,80,37,55,55,42,4
SAL,El Salvador,66,19,40,94,20,89
EST,Estonia,40,60,30,60,82,16
ETH,Ethiopia,70,20,65,55,#NULL!,46
#NULL!,Fiji,78,14,46,48,#NULL!,#NULL!
FIN,Finland,33,63,26,59,38,57
FRA,France,68,71,43,86,63,48
GEO,Georgia,65,41,55,85,38,32
GER,Germany,35,67,66,65,83,40
GEE,Germany East,#NULL!,#NULL!,#NULL!,#NULL!,78,34
GHA,Ghana,80,15,40,65,4,72
GBR,Great Britain,35,89,66,35,51,69
GRE,Greece,60,35,57,112,45,50
GUA,Guatemala,95,6,37,98,#NULL!,#NULL!
#NULL!,Honduras,80,20,40,50,#NULL!,#NULL!
HOK,Hong Kong,68,25,57,29,61,17
HUN,Hungary,46,80,88,82,58,31
ICE,Iceland,30,60,10,50,28,67
IND,India,77,48,56,40,51,26
IDO,Indonesia,78,14,46,48,62,38
IRA,Iran,58,41,43,59,14,40
IRQ,Iraq,97,31,53,96,12,23
IRE,Ireland,28,70,68,35,24,65
ISR,Israel,13,54,47,81,38,#NULL!
ITA,Italy,50,76,70,75,61,30
JAM,Jamaica,45,39,68,13,#NULL!,#NULL!
JPN,Japan,54,46,95,92,88,42
JOR,Jordan,70,30,45,65,16,43
#NULL!,Kazakhstan,88,20,50,88,85,22
#NULL!,Kenya,70,25,60,50,#NULL!,#NULL!
#NULL!,Kuwait,90,25,40,80,#NULL!,#NULL!
KYR,Kyrgyz Rep,#NULL!,#NULL!,#NULL!,#NULL!,66,39
LAT,Latvia,44,70,9,63,69,13
#NULL!,Lebanon,62,43,48,57,22,10
#NULL!,Libya,100,35,66,67,15,74
LIT,Lithuania,42,60,19,65,82,16
LUX,Luxembourg,40,60,50,70,64,56
#NULL!,Malawi,70,30,40,50,#NULL!,#NULL!
MAL,Malaysia,104,26,50,36,41,57
MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43
MLT,Malta,56,59,47,96,47,66
MEX,Mexico,81,30,69,82,24,97
MOL,Moldova,90,27,39,95,71,19
MNG,Montenegro,88,24,48,90,75,20
MOR,Morocco,70,46,53,68,14,25
#NULL!,Mozambique,85,15,38,44,11,80
#NULL!,Namibia,65,30,40,45,35,#NULL!
#NULL!,Nepal,65,30,40,40,#NULL!,#NULL!
NET,Netherlands,38,80,14,53,67,68
NZL,New Zealand,22,79,58,49,33,75
NIG,Nigeria,80,30,60,55,13,84
MAC,North Macedonia,90,22,45,87,62,35
NOR,Norway,31,69,8,50,35,55
PAK,Pakistan,55,14,50,70,50,0
PAN,Panama,95,11,44,86,#NULL!,#NULL!
#NULL!,Paraguay,70,12,40,85,20,56
PER,Peru,64,16,42,87,25,46
PHI,Philippines,94,32,64,44,27,42
POL,Poland,68,60,64,93,38,29
POR,Portugal,63,27,31,104,28,33
PUE,Puerto Rico,68,27,56,38,0,90
#NULL!,Qatar,93,25,55,80,#NULL!,#NULL!
ROM,Romania,90,30,42,90,52,20
RUS,Russia,93,39,36,95,81,20
RWA,Rwanda,#NULL!,#NULL!,#NULL!,#NULL!,18,37
#NULL!,São Tomé and Príncipe,75,37,24,70,32,41
SAU,Saudi Arabia,72,48,43,64,27,14
#NULL!,Senegal,70,25,45,55,25,#NULL!
SER,Serbia,86,25,43,92,52,28
#NULL!,Sierra Leone,70,20,40,50,#NULL!,#NULL!
SIN,Singapore,74,20,48,8,72,46
SLK,Slovak Rep,104,52,110,51,77,28
SLV,Slovenia,71,27,19,88,49,48
SAF,South Africa,#NULL!,#NULL!,#NULL!,#NULL!,34,63
SAW,South Africa white,49,65,63,49,34,63
KOR,South Korea,60,18,39,85,100,29
SPA,Spain,57,51,42,86,48,44
#NULL!,Sri Lanka,80,35,10,45,45,#NULL!
SUR,Suriname,85,47,37,92,#NULL!,#NULL!
SWE,Sweden,31,71,5,29,53,78
SWI,Switzerland,34,68,70,58,74,66
SWF,Switzerland French,70,64,58,70,#NULL!,#NULL!
SWG,Switzerland German,26,69,72,56,#NULL!,#NULL!
#NULL!,Syria,80,35,52,60,30,#NULL!
TAI,Taiwan,58,17,45,69,93,49
TAN,Tanzania,70,25,40,50,34,38
THA,Thailand,64,20,34,64,32,45
TRI,Trinidad and Tobago,47,16,58,55,13,80
#NULL!,Tunisia,70,40,40,75,#NULL!,#NULL!
TUR,Turkey,66,37,45,85,46,49
USA,U.S.A.,40,91,62,46,26,68
UGA,Uganda,#NULL!,#NULL!,#NULL!,#NULL!,24,52
UKR,Ukraine,92,25,27,95,86,14
#NULL!,United Arab Emirates,74,36,52,66,22,22
#NULL!,United Kingdom,35,89,66,35,51,69
URU,Uruguay,61,36,38,100,26,53
VEN,Venezuela,81,12,73,76,16,100
VIE,Vietnam,70,20,40,30,57,35
ZAM,Zambia,60,35,40,50,30,42
ZIM,Zimbabwe,#NULL!,#NULL!,#NULL!,#NULL!,15,28
